DATE,Consumer_Price_Index,Real_Disposable_Income
6/1/1979,72.2,5118.9
7/1/1979,73,5156.2
8/1/1979,73.7,5163.7
9/1/1979,74.4,5159.3
10/1/1979,75.2,5156.6
11/1/1979,76,5171.2
12/1/1979,76.9,5182.2
1/1/1980,78,5218.8
2/1/1980,79,5191.3
3/1/1980,80.1,5159
4/1/1980,80.9,5153.4
5/1/1980,81.7,5134.3
6/1/1980,82.5,5145.1
7/1/1980,82.6,5189.8
8/1/1980,83.2,5194.8
9/1/1980,83.9,5216.6
10/1/1980,84.7,5257.1
11/1/1980,85.6,5264.5
12/1/1980,86.4,5288.4
1/1/1981,87.2,5267.1
2/1/1981,88,5250.2
3/1/1981,88.6,5264.4
4/1/1981,89.1,5249
5/1/1981,89.7,5258.8
6/1/1981,90.5,5287.2
7/1/1981,91.5,5370.5
8/1/1981,92.2,5386.1
9/1/1981,93.1,5376.3
10/1/1981,93.4,5382.3
11/1/1981,93.8,5385
12/1/1981,94.1,5377.6
1/1/1982,94.4,5384.7
2/1/1982,94.7,5399.5
3/1/1982,94.7,5398.9
4/1/1982,95,5452.7
5/1/1982,95.9,5430.3
6/1/1982,97,5400.9
7/1/1982,97.5,5450.4
8/1/1982,97.7,5459.3
9/1/1982,97.7,5457.7
10/1/1982,98.1,5452.2
11/1/1982,98,5474.3
12/1/1982,97.7,5500.9
1/1/1983,97.9,5520
2/1/1983,98,5522.6
3/1/1983,98.1,5549.2
4/1/1983,98.8,5561.3
5/1/1983,99.2,5572.5
6/1/1983,99.4,5576.8
7/1/1983,99.8,5647
8/1/1983,100.1,5635.9
9/1/1983,100.4,5676.2
10/1/1983,100.8,5726.4
11/1/1983,101.1,5775
12/1/1983,101.4,5825.9
1/1/1984,102.1,5851.3
2/1/1984,102.6,5884.8
3/1/1984,102.9,5922.6
4/1/1984,103.3,5962.5
5/1/1984,103.5,5971
6/1/1984,103.7,6010.3
7/1/1984,104.1,6017.6
8/1/1984,104.4,6058.5
9/1/1984,104.7,6101.7
10/1/1984,105.1,6079.2
11/1/1984,105.3,6105.7
12/1/1984,105.5,6143.3
1/1/1985,105.7,6141.6
2/1/1985,106.3,6085.2
3/1/1985,106.8,6057.8
4/1/1985,107,6159.5
5/1/1985,107.2,6310.8
6/1/1985,107.5,6178.9
7/1/1985,107.7,6192.8
8/1/1985,107.9,6189
9/1/1985,108.1,6216.2
10/1/1985,108.5,6247.8
11/1/1985,109,6258.1
12/1/1985,109.5,6296.4
1/1/1986,109.9,6308.5
2/1/1986,109.7,6341.7
3/1/1986,109.1,6406.5
4/1/1986,108.7,6430.4
5/1/1986,109,6435.8
6/1/1986,109.4,6429.8
7/1/1986,109.5,6461.8
8/1/1986,109.6,6469.4
9/1/1986,110,6472.9
10/1/1986,110.2,6466
11/1/1986,110.4,6466.7
12/1/1986,110.8,6473.8
1/1/1987,111.4,6494.2
2/1/1987,111.8,6525
3/1/1987,112.2,6530.5
4/1/1987,112.7,6282.3
5/1/1987,113,6537
6/1/1987,113.5,6527.6
7/1/1987,113.8,6545.8
8/1/1987,114.3,6574
9/1/1987,114.7,6575.3
10/1/1987,115,6619.6
11/1/1987,115.4,6648.1
12/1/1987,115.6,6711.5
1/1/1988,116,6730.2
2/1/1988,116.2,6773.5
3/1/1988,116.5,6804.3
4/1/1988,117.2,6830.1
5/1/1988,117.5,6841.7
6/1/1988,118,6868.5
7/1/1988,118.5,6898.2
8/1/1988,119,6918.4
9/1/1988,119.5,6932.4
10/1/1988,119.9,6969.9
11/1/1988,120.3,6971.9
12/1/1988,120.7,7005.2
1/1/1989,121.2,7033.4
2/1/1989,121.6,7052.7
3/1/1989,122.2,7087.1
4/1/1989,123.1,7050
5/1/1989,123.7,7017.2
6/1/1989,124.1,7036.7
7/1/1989,124.5,7061.3
8/1/1989,124.5,7080
9/1/1989,124.8,7101.4
10/1/1989,125.4,7136.8
11/1/1989,125.9,7144
12/1/1989,126.3,7144.7
1/1/1990,127.5,7187.4
2/1/1990,128,7203.3
3/1/1990,128.6,7206.1
4/1/1990,128.9,7253.4
5/1/1990,129.1,7245.8
6/1/1990,129.9,7257.3
7/1/1990,130.5,7283.7
8/1/1990,131.6,7239.1
9/1/1990,132.5,7236.8
10/1/1990,133.4,7178.7
11/1/1990,133.7,7181.9
12/1/1990,134.2,7224.7
1/1/1991,134.7,7205.7
2/1/1991,134.8,7216.8
3/1/1991,134.8,7229.1
4/1/1991,135.1,7258
5/1/1991,135.6,7259.5
6/1/1991,136,7296.7
7/1/1991,136.2,7282
8/1/1991,136.6,7298.3
9/1/1991,137,7317.7
10/1/1991,137.2,7328
11/1/1991,137.8,7338.4
12/1/1991,138.2,7403.6
1/1/1992,138.3,7474.8
2/1/1992,138.6,7507.2
3/1/1992,139.1,7513.8
4/1/1992,139.4,7535
5/1/1992,139.7,7570.2
6/1/1992,140.1,7601.6
7/1/1992,140.5,7595.9
8/1/1992,140.8,7622.6
9/1/1992,141.1,7586.9
10/1/1992,141.7,7537.9
11/1/1992,142.1,7549.3
12/1/1992,142.3,7818.6
1/1/1993,142.8,7648.1
2/1/1993,143.1,7684.5
3/1/1993,143.3,7660.8
4/1/1993,143.8,7700.6
5/1/1993,144.2,7689.4
6/1/1993,144.3,7675.1
7/1/1993,144.5,7694.3
8/1/1993,144.8,7705.4
9/1/1993,145,7684.4
10/1/1993,145.6,7646.9
11/1/1993,146,7668.1
12/1/1993,146.3,7929.4
1/1/1994,146.3,7780.4
2/1/1994,146.7,7795
3/1/1994,147.1,7820.5
4/1/1994,147.2,7820.4
5/1/1994,147.5,7910.6
6/1/1994,147.9,7898.1
7/1/1994,148.4,7905
8/1/1994,149,7914.4
9/1/1994,149.3,7949
10/1/1994,149.4,8024.4
11/1/1994,149.8,8023.9
12/1/1994,150.1,8060.2
1/1/1995,150.5,8086
2/1/1995,150.9,8102
3/1/1995,151.2,8124.2
4/1/1995,151.8,8064
5/1/1995,152.1,8145.6
6/1/1995,152.4,8169.8
7/1/1995,152.6,8187.8
8/1/1995,152.9,8193
9/1/1995,153.1,8219.4
10/1/1995,153.5,8228.4
11/1/1995,153.7,8250.5
12/1/1995,153.9,8261.3
1/1/1996,154.7,8272.1
2/1/1996,155,8335.8
3/1/1996,155.5,8362.4
4/1/1996,156.1,8311.8
5/1/1996,156.4,8416.8
6/1/1996,156.7,8467.1
7/1/1996,157,8444
8/1/1996,157.2,8464.7
9/1/1996,157.7,8483.9
10/1/1996,158.2,8482.7
11/1/1996,158.7,8505.1
12/1/1996,159.1,8533.1
1/1/1997,159.4,8556.4
2/1/1997,159.7,8579.2
3/1/1997,159.8,8619
4/1/1997,159.9,8624.5
5/1/1997,159.9,8661.9
6/1/1997,160.2,8689.7
7/1/1997,160.4,8723.1
8/1/1997,160.8,8768.6
9/1/1997,161.2,8791.5
10/1/1997,161.5,8834.8
11/1/1997,161.7,8892.2
12/1/1997,161.8,8944.3
1/1/1998,162,9022.9
2/1/1998,162,9081.2
3/1/1998,162,9134.4
4/1/1998,162.2,9164.1
5/1/1998,162.6,9202
6/1/1998,162.8,9254.2
7/1/1998,163.2,9270
8/1/1998,163.4,9299.3
9/1/1998,163.5,9325.5
10/1/1998,163.9,9337.5
11/1/1998,164.1,9374.6
12/1/1998,164.4,9391.7
1/1/1999,164.7,9444.1
2/1/1999,164.7,9476.2
3/1/1999,164.8,9484.1
4/1/1999,165.9,9453
5/1/1999,166,9469.3
6/1/1999,166,9501.3
7/1/1999,166.7,9519
8/1/1999,167.1,9559.1
9/1/1999,167.8,9546.7
10/1/1999,168.1,9598.7
11/1/1999,168.4,9660.9
12/1/1999,168.8,9735.9
1/1/2000,169.3,9799.9
2/1/2000,170,9837.9
3/1/2000,171,9864
4/1/2000,170.9,9913.7
5/1/2000,171.2,9954.5
6/1/2000,172.2,9982.3
7/1/2000,172.7,10035.9
8/1/2000,172.7,10098.3
9/1/2000,173.6,10110.3
10/1/2000,173.9,10139.2
11/1/2000,174.2,10143.5
12/1/2000,174.6,10164.3
1/1/2001,175.6,10211.7
2/1/2001,176,10223.4
3/1/2001,176.1,10254.4
4/1/2001,176.4,10233.1
5/1/2001,177.3,10214.7
6/1/2001,177.7,10218.1
7/1/2001,177.4,10370.7
8/1/2001,177.4,10543.1
9/1/2001,178.1,10452.8
10/1/2001,177.6,10267.7
11/1/2001,177.5,10279.7
12/1/2001,177.4,10298.9
1/1/2002,177.7,10514.7
2/1/2002,178,10531.6
3/1/2002,178.5,10539
4/1/2002,179.3,10574.2
5/1/2002,179.5,10616.5
6/1/2002,179.6,10648.2
7/1/2002,180,10621
8/1/2002,180.5,10623
9/1/2002,180.8,10633.6
10/1/2002,181.2,10661.8
11/1/2002,181.5,10690.9
12/1/2002,181.8,10719.9
1/1/2003,182.6,10710.4
2/1/2003,183.6,10674
3/1/2003,183.9,10696.5
4/1/2003,183.2,10752.7
5/1/2003,182.9,10832
6/1/2003,183.1,10860.6
7/1/2003,183.7,10991.1
8/1/2003,184.5,11066.7
9/1/2003,185.1,10940.8
10/1/2003,184.9,10982.3
11/1/2003,185,11048.4
12/1/2003,185.5,11057.2
1/1/2004,186.3,11051.2
2/1/2004,186.7,11071
3/1/2004,187.1,11115.6
4/1/2004,187.4,11153.3
5/1/2004,188.2,11208.9
6/1/2004,188.9,11215.8
7/1/2004,189.1,11240.5
8/1/2004,189.2,11274.6
9/1/2004,189.8,11279.6
10/1/2004,190.8,11282.5
11/1/2004,191.7,11246.1
12/1/2004,191.7,11659
1/1/2005,191.6,11226.5
2/1/2005,192.4,11229
3/1/2005,193.1,11268.8
4/1/2005,193.7,11304.2
5/1/2005,193.6,11352.7
6/1/2005,193.7,11375.5
7/1/2005,194.9,11387.1
8/1/2005,196.1,11405.3
9/1/2005,198.8,11365.2
10/1/2005,199.1,11428.7
11/1/2005,198.1,11500.1
12/1/2005,198.1,11535.2
1/1/2006,199.3,11651.8
2/1/2006,199.4,11702.8
3/1/2006,199.7,11747.5
4/1/2006,200.7,11744.4
5/1/2006,201.3,11736.8
6/1/2006,201.8,11751.9
7/1/2006,202.9,11746.9
8/1/2006,203.8,11737
9/1/2006,202.8,11800.1
10/1/2006,201.9,11853.7
11/1/2006,202,11901.9
12/1/2006,203.1,11958.6
1/1/2007,203.437,11956.6
2/1/2007,204.226,11996
3/1/2007,205.288,12035.1
4/1/2007,205.904,12052.8
5/1/2007,206.755,12059.9
6/1/2007,207.234,12053.3
7/1/2007,207.603,12066.4
8/1/2007,207.667,12070.9
9/1/2007,208.547,12089.6
10/1/2007,209.19,12080.4
11/1/2007,210.834,12070.1
12/1/2007,211.445,12120.5
1/1/2008,212.174,12137.1
2/1/2008,212.687,12141.8
3/1/2008,213.448,12145.9
4/1/2008,213.942,12100.8
5/1/2008,215.208,12696.2
6/1/2008,217.463,12376.6
7/1/2008,219.016,12188.7
8/1/2008,218.69,12120.6
9/1/2008,218.877,12149
10/1/2008,216.995,12240.5
11/1/2008,213.153,12345.9
12/1/2008,211.398,12288.8
1/1/2009,211.933,12361.5
2/1/2009,212.705,12241.9
3/1/2009,212.495,12242.7
4/1/2009,212.709,12320
5/1/2009,213.022,12500.1
6/1/2009,214.79,12273.2
7/1/2009,214.726,12218.7
8/1/2009,215.445,12194.8
9/1/2009,215.861,12230.6
10/1/2009,216.509,12193.2
11/1/2009,217.234,12224.4
12/1/2009,217.347,12280.2
1/1/2010,217.488,12285.8
2/1/2010,217.281,12292
3/1/2010,217.353,12340.3
4/1/2010,217.403,12447.1
5/1/2010,217.29,12540.3
6/1/2010,217.199,12544.3
7/1/2010,217.605,12554.2
8/1/2010,217.923,12591.4
9/1/2010,218.275,12589.9
10/1/2010,219.035,12592.5
11/1/2010,219.59,12605.1
12/1/2010,220.472,12680.6
1/1/2011,221.187,12740.1
2/1/2011,221.898,12776.6
3/1/2011,223.046,12742.7
